rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,date
8,8,3,OLD,20181877,캡틴 마블,2019-03-06,61356440,4.0,30212860,97,50783231123,6924,3102,81.2,5718475,161,303,2019-04-19
9,9,0,OLD,20198104,바이스,2019-04-11,46930300,3.1,15711400,50.3,887315500,5429,1523,39,104471,184,543,2019-04-19
10,10,-2,OLD,19990220,노팅 힐,1999-07-03,45894400,3.0,14123700,44.5,112278400,5317,1199,29.1,14050,181,567,2019-04-19
1,1,0,OLD,20183096,생일,2019-04-03,599578994,23.1,291666859,94.7,8355284420,70426,33580,91.1,1003098,878,3317,2019-04-20
2,2,0,OLD,20183454,요로나의 저주,2019-04-17,444486726,17.1,187441301,72.9,1095334491,48637,20395,72.2,123408,620,2678,2019-04-20
3,3,1,OLD,20180825,미성년,2019-04-11,182416590,7.0,73788380,67.9,1965040060,20667,8238,66.3,228596,560,1494,2019-04-20
4,4,4,OLD,20181877,캡틴 마블,2019-03-06,167557530,6.5,106201090,173.1,50950788653,18607,11683,168.7,5737082,202,466,2019-04-20
5,5,-2,OLD,20198982,크게 될 놈,2019-04-18,145368740,5.6,42928010,41.9,371484020,17669,4906,38.4,46796,447,1236,2019-04-20
6,6,-1,OLD,20185406,헬보이,2019-04-10,152133497,5.9,64115147,72.8,2563674901,17351,7180,70.6,298000,517,1526,2019-04-20
7,7,-1,OLD,20176103,돈,2019-03-20,139501310,5.4,67015350,92.5,28664229132,15842,7229,83.9,3364601,404,937,2019-04-20
8,8,-1,OLD,20182501,왓칭,2019-04-17,97115607,3.7,28362782,41.3,300565932,11130,3173,39.9,35976,484,1243,2019-04-20
9,9,1,OLD,19990220,노팅 힐,1999-07-03,81546300,3.1,35651900,77.7,193824700,9312,3995,75.1,23362,183,611,2019-04-20
10,10,-1,OLD,20198104,바이스,2019-04-11,80318100,3.1,33387800,71.1,967633600,9272,3843,70.8,113743,192,557,2019-04-20
1,1,0,OLD,20183096,생일,2019-04-03,539663210,23.8,-59915784,-10,8894947630,63042,-7384,-10.5,1066140,855,3232,2019-04-21
2,2,0,OLD,20183454,요로나의 저주,2019-04-17,345731960,15.3,-98754766,-22.2,1441066451,37652,-10985,-22.6,161060,587,2546,2019-04-21
3,3,0,OLD,20180825,미성년,2019-04-11,171628050,7.6,-10788540,-5.9,2136668110,19505,-1162,-5.6,248101,561,1459,2019-04-21
4,4,0,OLD,20181877,캡틴 마블,2019-03-06,164170330,7.2,-3387200,-2,51114958983,18353,-254,-1.4,5755435,223,521,2019-04-21
5,5,0,OLD,20198982,크게 될 놈,2019-04-18,130370850,5.8,-14997890,-10.3,501854870,15476,-2193,-12.4,62272,445,1221,2019-04-21
6,6,0,OLD,20185406,헬보이,2019-04-10,123315740,5.4,-28817757,-18.9,2686990641,13910,-3441,-19.8,311910,510,1446,2019-04-21
7,7,0,OLD,20176103,돈,2019-03-20,119269360,5.3,-20231950,-14.5,28783498492,13477,-2365,-14.9,3378078,404,914,2019-04-21
8,8,0,OLD,20182501,왓칭,2019-04-17,90034330,4.0,-7081277,-7.3,390600262,10163,-967,-8.7,46139,463,1164,2019-04-21
9,9,0,OLD,19990220,노팅 힐,1999-07-03,71001600,3.1,-10544700,-12.9,264826300,8057,-1255,-13.5,31419,183,589,2019-04-21
10,10,0,OLD,20198104,바이스,2019-04-11,67217600,3.0,-13100500,-16.3,1034851200,7840,-1432,-15.4,121583,192,535,2019-04-21
1,1,0,OLD,20183096,생일,2019-04-03,170648890,21.5,-369014320,-68.4,9065596520,21995,-41047,-65.1,1088135,783,2836,2019-04-22
2,2,0,OLD,20183454,요로나의 저주,2019-04-17,106221370,13.4,-239510590,-69.3,1547287821,12805,-24847,-66,173865,557,2098,2019-04-22
3,3,0,OLD,20180825,미성년,2019-04-11,74751120,9.4,-96876930,-56.4,2211419230,9284,-10221,-52.4,257385,516,1364,2019-04-22
4,4,1,OLD,20198982,크게 될 놈,2019-04-18,60121220,7.6,-70249630,-53.9,561976090,7981,-7495,-48.4,70253,413,1076,2019-04-22
5,5,-1,OLD,20181877,캡틴 마블,2019-03-06,58555840,7.4,-105614490,-64.3,51173514823,7076,-11277,-61.4,5762511,196,498,2019-04-22
6,6,1,OLD,20176103,돈,2019-03-20,38822060,4.9,-80447300,-67.5,28822320552,4859,-8618,-63.9,3382937,371,825,2019-04-22
7,7,-1,OLD,20185406,헬보이,2019-04-10,38508450,4.9,-84807290,-68.8,2725499091,4841,-9069,-65.2,316751,466,1200,2019-04-22
8,8,0,OLD,20182501,왓칭,2019-04-17,31016690,3.9,-59017640,-65.6,421616952,3922,-6241,-61.4,50061,413,908,2019-04-22
9,9,0,OLD,19990220,노팅 힐,1999-07-03,29125900,3.7,-41875700,-59,293952200,3822,-4235,-52.6,35241,171,538,2019-04-22
10,10,1,OLD,20198844,아이 엠 마더,2019-04-11,23044700,2.9,-26894800,-53.9,725823700,3361,-2482,-42.5,87314,139,431,2019-04-22
1,1,0,OLD,20183096,생일,2019-04-03,167174950,19.6,-3473940,-2,9232771470,21873,-122,-0.6,1110008,783,2830,2019-04-23
2,2,0,OLD,20183454,요로나의 저주,2019-04-17,89977110,10.5,-16244260,-15.3,1637264931,10738,-2067,-16.1,184603,557,1980,2019-04-23
3,3,0,OLD,20180825,미성년,2019-04-11,80267430,9.4,5516310,7.4,2291686660,10144,860,9.3,267529,537,1397,2019-04-23
4,4,0,OLD,20198982,크게 될 놈,2019-04-18,72248540,8.4,12127320,20.2,634224630,9785,1804,22.6,80038,422,1096,2019-04-23
5,5,0,OLD,20181877,캡틴 마블,2019-03-06,70671580,8.3,12115740,20.7,51244186403,8620,1544,21.8,5771131,212,548,2019-04-23
6,6,0,OLD,20176103,돈,2019-03-20,36035810,4.2,-2786250,-7.2,28858356362,4603,-256,-5.3,3387540,375,804,2019-04-23
7,7,0,OLD,20185406,헬보이,2019-04-10,35152070,4.1,-3356380,-8.7,2760651161,4367,-474,-9.8,321118,465,1129,2019-04-23
8,8,1,OLD,19990220,노팅 힐,1999-07-03,33307200,3.9,4181300,14.4,327259400,4272,450,11.8,39513,175,543,2019-04-23
9,9,1,OLD,20198844,아이 엠 마더,2019-04-11,26621100,3.1,3576400,15.5,752444800,4044,683,20.3,91358,135,427,2019-04-23
10,10,-2,OLD,20182501,왓칭,2019-04-17,27763310,3.2,-3253380,-10.5,449380262,3439,-483,-12.3,53500,423,866,2019-04-23
1,1,22,OLD,20184889,어벤져스: 엔드게임,2019-04-24,9678989600,97.1,9669629600,103308,9688349600,1338729,1338105,214439.9,1339353,2760,12544,2019-04-24
2,2,-1,OLD,20183096,생일,2019-04-03,106838670,1.1,-60336280,-36.1,9339610140,17660,-4213,-19.3,1127668,422,883,2019-04-24
3,3,0,OLD,20180825,미성년,2019-04-11,20569840,0.2,-59697590,-74.4,2312256500,3315,-6829,-67.3,270844,156,207,2019-04-24
4,4,0,OLD,20198982,크게 될 놈,2019-04-18,19336600,0.2,-52911940,-73.2,653561230,3122,-6663,-68.1,83160,203,280,2019-04-24
5,5,-3,OLD,20183454,요로나의 저주,2019-04-17,20137550,0.2,-69839560,-77.6,1657402481,3013,-7725,-71.9,187616,183,275,2019-04-24
6,6,2,OLD,19990220,노팅 힐,1999-07-03,11662500,0.1,-21644700,-65,338921900,1618,-2654,-62.1,41131,128,178,2019-04-24
7,7,-2,OLD,20181877,캡틴 마블,2019-03-06,10077790,0.1,-60593790,-85.7,51254264193,1497,-7123,-82.6,5772628,55,65,2019-04-24
8,8,4,OLD,20198104,바이스,2019-04-11,9332500,0.1,-10950300,-54,1085681500,1421,-1081,-43.2,128135,62,91,2019-04-24
9,9,4,OLD,20198912,노무현과 바보들,2019-04-18,6688800,0.1,-9514260,-58.7,136481240,1064,-1097,-50.8,17347,163,177,2019-04-24
10,10,0,NEW,20199189,미스 스티븐스,2019-05-02,5221000,0.1,5221000,100,6762800,1043,1043,100,1185,15,16,2019-04-24
1,1,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,7148951550,95.3,-2530038050,-26.1,16837301150,832180,-506549,-37.8,2171533,2759,12337,2019-04-25
2,2,94,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,113249440,1.5,113234440,754896.3,132893440,16260,16257,541900,18580,530,935,2019-04-25
3,3,-1,OLD,20183096,생일,2019-04-03,72857060,1.0,-33981610,-31.8,9412467200,9375,-8285,-46.9,1137043,423,777,2019-04-25
4,4,1,OLD,20183454,요로나의 저주,2019-04-17,17530920,0.2,-2606630,-12.9,1674933401,2081,-932,-30.9,189697,160,234,2019-04-25
5,5,-2,OLD,20180825,미성년,2019-04-11,15507530,0.2,-5062310,-24.6,2327764030,1995,-1320,-39.8,272839,129,156,2019-04-25
6,6,-2,OLD,20198982,크게 될 놈,2019-04-18,13891640,0.2,-5444960,-28.2,667452870,1992,-1130,-36.2,85152,127,171,2019-04-25
7,7,0,OLD,20181877,캡틴 마블,2019-03-06,14567320,0.2,4489530,44.5,51268831513,1790,293,19.6,5774418,60,72,2019-04-25
8,8,-2,OLD,19990220,노팅 힐,1999-07-03,12673800,0.2,1011300,8.7,351595700,1609,-9,-0.6,42740,125,191,2019-04-25
9,9,29,OLD,20169323,안도 타다오,2019-04-25,8281000,0.1,7598000,1112.4,17546200,1032,896,658.8,2357,43,55,2019-04-25
10,10,-1,OLD,20198912,노무현과 바보들,2019-04-18,4990600,0.1,-1698200,-25.4,141471840,795,-269,-25.3,18142,33,38,2019-04-25
1,1,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,9735827020,95.8,2586875470,36.2,26573128170,1046691,214511,25.8,3218224,2796,12831,2019-04-26
2,2,0,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,127026520,1.3,13777080,12.2,259919960,15951,-309,-1.9,34531,508,927,2019-04-26
3,3,0,OLD,20183096,생일,2019-04-03,96018680,0.9,23161620,31.8,9508485880,11510,2135,22.8,1148553,410,714,2019-04-26
4,4,0,OLD,20183454,요로나의 저주,2019-04-17,25696740,0.3,8165820,46.6,1700630141,2805,724,34.8,192502,158,222,2019-04-26
5,5,2,OLD,20181877,캡틴 마블,2019-03-06,22423760,0.2,7856440,53.9,51291255273,2530,740,41.3,5776948,66,83,2019-04-26
6,6,-1,OLD,20180825,미성년,2019-04-11,21862740,0.2,6355210,41,2349626770,2494,499,25,275333,128,159,2019-04-26
7,7,1,OLD,19990220,노팅 힐,1999-07-03,19994282,0.2,7320482,57.8,371589982,2239,630,39.2,44979,129,196,2019-04-26
8,8,-2,OLD,20198982,크게 될 놈,2019-04-18,15376830,0.2,1485190,10.7,682829700,2166,174,8.7,87318,110,154,2019-04-26
9,9,0,OLD,20169323,안도 타다오,2019-04-25,12580200,0.1,4299200,51.9,30126400,1423,391,37.9,3780,44,58,2019-04-26
10,10,3,OLD,20198104,바이스,2019-04-11,7799984,0.1,3631484,87.1,1097649984,855,341,66.3,129504,53,72,2019-04-26
1,1,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,14970007600,92.3,5234180580,53.8,41543135770,1662469,615778,58.8,4880693,2835,13397,2019-04-27
2,2,0,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,921076650,5.7,794050130,625.1,1180996610,117772,101821,638.3,152303,728,1635,2019-04-27
3,3,0,OLD,20183096,생일,2019-04-03,89871710,0.6,-6146970,-6.4,9598357590,10758,-752,-6.5,1159311,334,471,2019-04-27
4,4,1,OLD,20181877,캡틴 마블,2019-03-06,27814840,0.2,5391080,24,51319070113,3321,791,31.3,5780269,54,65,2019-04-27
5,5,-1,OLD,20183454,요로나의 저주,2019-04-17,24038490,0.1,-1658250,-6.5,1724668631,2723,-82,-2.9,195225,128,150,2019-04-27
6,6,1,OLD,19990220,노팅 힐,1999-07-03,21787500,0.1,1793218,9,393377482,2420,181,8.1,47399,112,147,2019-04-27
7,7,-1,OLD,20180825,미성년,2019-04-11,18887490,0.1,-2975250,-13.6,2368514260,2289,-205,-8.2,277622,106,118,2019-04-27
8,8,1,OLD,20169323,안도 타다오,2019-04-25,17363050,0.1,4782850,38,47489450,1861,438,30.8,5641,48,64,2019-04-27
9,9,-1,OLD,20198982,크게 될 놈,2019-04-18,13640300,0.1,-1736530,-11.3,696470000,1764,-402,-18.6,89082,93,114,2019-04-27
10,10,7,OLD,20183773,장난스런 키스,2019-03-27,10970340,0.1,7308898,199.6,3468496410,1256,824,190.7,424479,35,39,2019-04-27
1,1,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,12812523680,91.2,-2157483920,-14.4,54355659450,1427355,-235114,-14.1,6308048,2833,13055,2019-04-28
2,2,0,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,963244570,6.9,42167920,4.6,2144241180,122713,4941,4.2,275016,736,1655,2019-04-28
3,3,0,OLD,20183096,생일,2019-04-03,74505500,0.5,-15366210,-17.1,9672863090,9075,-1683,-15.6,1168386,345,460,2019-04-28
4,4,0,OLD,20181877,캡틴 마블,2019-03-06,24499490,0.2,-3315350,-11.9,51343569603,2948,-373,-11.2,5783217,54,64,2019-04-28
5,5,1,OLD,19990220,노팅 힐,1999-07-03,22682800,0.2,895300,4.1,416060282,2559,139,5.7,49958,115,144,2019-04-28
6,6,2,OLD,20169323,안도 타다오,2019-04-25,19277980,0.1,1914930,11,66767430,2183,322,17.3,7824,47,61,2019-04-28
7,7,-2,OLD,20183454,요로나의 저주,2019-04-17,16249170,0.1,-7789320,-32.4,1740917801,1900,-823,-30.2,197125,125,140,2019-04-28
8,8,-1,OLD,20180825,미성년,2019-04-11,13874010,0.1,-5013480,-26.5,2382388270,1683,-606,-26.5,279305,93,102,2019-04-28
9,9,0,OLD,20198982,크게 될 놈,2019-04-18,9175420,0.1,-4464880,-32.7,705645420,1238,-526,-29.8,90320,88,108,2019-04-28
10,10,1,OLD,20198104,바이스,2019-04-11,9026200,0.1,-1814300,-16.7,1117516684,1012,-170,-14.4,131698,45,63,2019-04-28
1,1,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,4099535220,92.9,-8712988460,-68,58455194670,471789,-955566,-66.9,6779837,2794,12415,2019-04-29
2,2,0,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,70392930,1.6,-892851640,-92.7,2214634110,9647,-113066,-92.1,284663,462,825,2019-04-29
3,3,0,OLD,20183096,생일,2019-04-03,45800990,1.0,-28704510,-38.5,9718664080,6010,-3065,-33.8,1174396,378,622,2019-04-29
4,4,0,NEW,20199448,어린 의뢰인,2019-05-22,31173000,0.7,31173000,100,43015000,3424,3424,100,4798,10,12,2019-04-29
5,5,0,OLD,19990220,노팅 힐,1999-07-03,15012200,0.3,-7670600,-33.8,431072482,1976,-583,-22.8,51934,132,198,2019-04-29
6,6,0,NEW,20197147,어글리 돌,2019-05-01,13970000,0.3,13970000,100,17066000,1662,1662,100,1989,13,13,2019-04-29
7,7,2,OLD,20198982,크게 될 놈,2019-04-18,11590020,0.3,2414600,26.3,717235440,1629,391,31.6,91949,113,153,2019-04-29
8,8,0,OLD,20180825,미성년,2019-04-11,11307810,0.3,-2566200,-18.5,2393696080,1482,-201,-11.9,280787,111,134,2019-04-29
9,9,-5,OLD,20181877,캡틴 마블,2019-03-06,11034820,0.3,-13464670,-55,51354604423,1419,-1529,-51.9,5784636,65,88,2019-04-29
10,10,0,NEW,20197503,서스페리아,2019-05-16,12176800,0.3,12176800,100,14083800,1218,1218,100,1412,17,17,2019-04-29
1,1,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,4742333860,92.7,642798640,15.7,63197528530,551321,79532,16.9,7331158,2802,12584,2019-04-30
2,2,0,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,76622990,1.5,6230060,8.9,2291257100,10717,1070,11.1,295380,476,837,2019-04-30
3,3,0,OLD,20183096,생일,2019-04-03,66250450,1.3,20449460,44.6,9784914530,8977,2967,49.4,1183373,403,649,2019-04-30
4,4,0,NEW,20184082,걸캅스,2019-05-09,33143000,0.6,33143000,100,34872000,3679,3679,100,3926,10,17,2019-04-30
5,5,0,OLD,19990220,노팅 힐,1999-07-03,20040500,0.4,5028300,33.5,451112982,2652,676,34.2,54586,140,203,2019-04-30
6,6,2,OLD,20180825,미성년,2019-04-11,19789580,0.4,8481770,75,2413485660,2536,1054,71.1,283323,133,164,2019-04-30
7,7,2,OLD,20181877,캡틴 마블,2019-03-06,18542320,0.4,7507500,68,51373146743,2396,977,68.9,5787032,64,91,2019-04-30
8,8,-1,OLD,20198982,크게 될 놈,2019-04-18,10572890,0.2,-1017130,-8.8,727808330,1522,-107,-6.6,93471,110,145,2019-04-30
9,9,2,OLD,20183454,요로나의 저주,2019-04-17,10221650,0.2,1844840,22,1759516261,1353,301,28.6,199530,123,151,2019-04-30
10,10,2,OLD,20169323,안도 타다오,2019-04-25,10221530,0.2,2849230,38.6,84361260,1334,404,43.4,10088,43,64,2019-04-30
1,1,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,7425056550,78.4,2682722690,56.6,70622585080,911374,360053,65.3,8242532,2508,11104,2019-05-01
2,2,12,OLD,20185784,나의 특별한 형제,2019-05-01,1031612550,10.9,1025926050,18041.4,1278181050,133028,132300,18173.1,169371,734,3019,2019-05-01
3,3,-1,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,730599150,7.7,653976160,853.5,3021856250,102381,91664,855.3,397761,669,1297,2019-05-01
4,4,7,OLD,20197147,어글리 돌,2019-05-01,89425540,0.9,81562540,1037.3,114354540,12842,11835,1175.3,15838,353,417,2019-05-01
5,5,-2,OLD,20183096,생일,2019-04-03,23233310,0.2,-43017140,-64.9,9808147840,3389,-5588,-62.2,1186762,102,141,2019-05-01
6,6,0,NEW,20199736,프렌즈: 둥지탈출,2019-05-01,20698750,0.2,20698750,100,22948750,3020,3020,100,3270,184,190,2019-05-01
7,7,0,OLD,20181877,캡틴 마블,2019-03-06,19456880,0.2,914560,4.9,51392603623,2537,141,5.9,5789569,48,73,2019-05-01
8,8,2,OLD,20169323,안도 타다오,2019-04-25,16788330,0.2,6566800,64.2,101149590,2188,854,64,12276,49,69,2019-05-01
9,9,-3,OLD,20180825,미성년,2019-04-11,13613330,0.1,-6176250,-31.2,2427098990,1812,-724,-28.5,285135,39,53,2019-05-01
10,10,-5,OLD,19990220,노팅 힐,1999-07-03,8582300,0.1,-11458200,-57.2,459695282,1105,-1547,-58.3,55691,32,42,2019-05-01
1,1,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,3212715990,78.9,-4212340560,-56.7,73835301070,376822,-534552,-58.7,8619354,2458,10630,2019-05-02
2,2,0,OLD,20185784,나의 특별한 형제,2019-05-01,564562100,13.9,-467050450,-45.3,1842743150,72339,-60689,-45.6,241710,770,3147,2019-05-02
3,3,0,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,71685560,1.8,-658913590,-90.2,3093541810,10470,-91911,-89.8,408231,465,723,2019-05-02
4,4,0,NEW,20060347,판의 미로 - 오필리아와 세 개의 열쇠,2006-11-30,30632200,0.8,30632200,100,2821278048,3658,3658,100,475949,44,92,2019-05-02
5,5,0,NEW,20187981,배심원들,2019-05-15,27071000,0.7,27071000,100,30747000,3007,3007,100,3473,11,14,2019-05-02
6,6,-2,OLD,20197147,어글리 돌,2019-05-01,18168000,0.4,-71257540,-79.7,132522540,2868,-9974,-77.7,18706,212,235,2019-05-02
7,7,0,NEW,20198598,명탐정 피카츄,2019-05-09,20450000,0.5,20450000,100,20450000,2182,2182,100,2182,11,11,2019-05-02
8,8,3,OLD,20199189,미스 스티븐스,2019-05-02,11334150,0.3,5401550,91,24029550,1482,736,98.7,3413,64,109,2019-05-02
9,9,0,NEW,20190923,킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅲ 레오×유우×알렉,2019-05-02,11449410,0.3,11449410,100,11449410,1455,1455,100,1455,34,47,2019-05-02
10,10,-3,OLD,20181877,캡틴 마블,2019-03-06,11227370,0.3,-8229510,-42.3,51403830993,1409,-1128,-44.5,5790978,58,90,2019-05-02
1,1,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,5164106910,82.2,1951390920,60.7,78999407980,567060,190238,50.5,9186414,2490,11045,2019-05-03
2,2,0,OLD,20185784,나의 특별한 형제,2019-05-01,822674110,13.1,258112010,45.7,2665417260,97692,25353,35,339402,784,3129,2019-05-03
3,3,0,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,110202320,1.8,38516760,53.7,3203744130,15950,5480,52.3,424181,513,819,2019-05-03
4,4,2,OLD,20197147,어글리 돌,2019-05-01,25595850,0.4,7427850,40.9,158118390,3924,1056,36.8,22630,242,269,2019-05-03
5,5,6,OLD,20199736,프렌즈: 둥지탈출,2019-05-01,13705200,0.2,5373400,64.5,44985750,2273,896,65.1,6920,103,106,2019-05-03
6,6,-2,OLD,20060347,판의 미로 - 오필리아와 세 개의 열쇠,2006-11-30,14792500,0.2,-15839700,-51.7,2836070548,1713,-1945,-53.2,477662,38,91,2019-05-03
7,7,5,OLD,20183096,생일,2019-04-03,12455710,0.2,3805430,44,9829253830,1651,458,38.4,1189606,98,135,2019-05-03
8,8,0,OLD,20199189,미스 스티븐스,2019-05-02,14245090,0.2,2910940,25.7,38274640,1560,78,5.3,4973,64,111,2019-05-03
9,9,1,OLD,20181877,캡틴 마블,2019-03-06,13609420,0.2,2382050,21.2,51417440413,1544,135,9.6,5792522,58,86,2019-05-03
10,10,3,OLD,20169323,안도 타다오,2019-04-25,9644000,0.2,935320,10.7,119502270,1114,-74,-6.2,14578,51,81,2019-05-03
1,1,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,8137198240,76.4,2973091330,57.6,87136606220,899865,332805,58.7,10086279,2443,10623,2019-05-04
2,2,0,OLD,20185784,나의 특별한 형제,2019-05-01,1257268950,11.8,434594840,52.8,3922686210,146784,49092,50.3,486186,745,2746,2019-05-04
3,3,0,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,597767930,5.6,487565610,442.4,3801512060,75621,59671,374.1,499802,763,1660,2019-05-04
4,4,0,NEW,20198598,명탐정 피카츄,2019-05-09,449485960,4.2,449485960,100,469935960,54170,54170,100,56352,628,1569,2019-05-04
5,5,-1,OLD,20197147,어글리 돌,2019-05-01,49157450,0.5,23561600,92.1,207275840,6442,2518,64.2,29072,310,349,2019-05-04
6,6,0,OLD,20060347,판의 미로 - 오필리아와 세 개의 열쇠,2006-11-30,21075600,0.2,6283100,42.5,2857146148,2433,720,42,480095,38,89,2019-05-04
7,7,1,OLD,20199189,미스 스티븐스,2019-05-02,18400630,0.2,4155540,29.2,56675270,2107,547,35.1,7080,62,99,2019-05-04
8,8,1,OLD,20181877,캡틴 마블,2019-03-06,17681450,0.2,4072030,29.9,51435121863,1975,431,27.9,5794497,41,62,2019-05-04
9,9,1,OLD,20169323,안도 타다오,2019-04-25,14976650,0.1,5332650,55.3,134478920,1733,619,55.6,16311,53,80,2019-05-04
10,10,-5,OLD,20199736,프렌즈: 둥지탈출,2019-05-01,12597800,0.1,-1107400,-8.1,57583550,1691,-582,-25.6,8611,135,140,2019-05-04
1,1,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,7892294930,73.2,-244903310,-3,95028901150,866036,-33829,-3.8,10952315,2430,10486,2019-05-05
2,2,0,OLD,20185784,나의 특별한 형제,2019-05-01,1505051040,14.0,247782090,19.7,5427737250,174663,27879,19,660849,785,2842,2019-05-05
3,3,0,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,645095310,6.0,47327380,7.9,4446607370,80488,4867,6.4,580290,797,1845,2019-05-05
4,4,0,OLD,20198598,명탐정 피카츄,2019-05-09,528095690,4.9,78609730,17.5,998031650,63364,9194,17,119716,641,1550,2019-05-05
5,5,0,OLD,20197147,어글리 돌,2019-05-01,65921510,0.6,16764060,34.1,273197350,8469,2027,31.5,37541,331,381,2019-05-05
6,6,0,OLD,20060347,판의 미로 - 오필리아와 세 개의 열쇠,2006-11-30,20154300,0.2,-921300,-4.4,2877300448,2313,-120,-4.9,482408,37,88,2019-05-05
7,7,0,OLD,20199189,미스 스티븐스,2019-05-02,15721080,0.1,-2679550,-14.6,72396350,1863,-244,-11.6,8943,60,92,2019-05-05
8,8,1,OLD,20169323,안도 타다오,2019-04-25,15592950,0.1,616300,4.1,150071870,1789,56,3.2,18100,53,79,2019-05-05
9,9,1,OLD,20199736,프렌즈: 둥지탈출,2019-05-01,11781400,0.1,-816400,-6.5,69364950,1568,-123,-7.3,10179,157,165,2019-05-05
10,10,-2,OLD,20181877,캡틴 마블,2019-03-06,13520950,0.1,-4160500,-23.5,51448642813,1559,-416,-21.1,5796056,43,63,2019-05-05
1,1,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,5723056700,66.4,-2169238230,-27.5,100751957850,639357,-226679,-26.2,11591672,2384,9958,2019-05-06
2,2,0,OLD,20185784,나의 특별한 형제,2019-05-01,1503659450,17.4,-1391590,-0.1,6931396700,177830,3167,1.8,838679,811,3060,2019-05-06
3,3,0,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,623569740,7.2,-21525570,-3.3,5070177110,79305,-1183,-1.5,659595,711,1555,2019-05-06
4,4,0,OLD,20198598,명탐정 피카츄,2019-05-09,552191760,6.4,24096070,4.6,1550223410,68166,4802,7.6,187882,604,1452,2019-05-06
5,5,0,OLD,20197147,어글리 돌,2019-05-01,73756670,0.9,7835160,11.9,346954020,9585,1116,13.2,47126,310,343,2019-05-06
6,6,1,OLD,20199189,미스 스티븐스,2019-05-02,19477660,0.2,3756580,23.9,91874010,2270,407,21.8,11213,55,98,2019-05-06
7,7,-1,OLD,20060347,판의 미로 - 오필리아와 세 개의 열쇠,2006-11-30,17948100,0.2,-2206200,-10.9,2895248548,2050,-263,-11.4,484458,36,90,2019-05-06
8,8,1,OLD,20199736,프렌즈: 둥지탈출,2019-05-01,15693000,0.2,3911600,33.2,85057950,2029,461,29.4,12208,158,165,2019-05-06
9,9,-1,OLD,20169323,안도 타다오,2019-04-25,14478530,0.2,-1114420,-7.1,164550400,1694,-95,-5.3,19794,45,66,2019-05-06
10,10,0,OLD,20181877,캡틴 마블,2019-03-06,10987620,0.1,-2533330,-18.7,51459630433,1265,-294,-18.9,5797321,46,64,2019-05-06
1,1,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,1450057710,62.5,-4272998990,-74.7,102202015560,164346,-475011,-74.3,11756018,2320,9295,2019-05-07
2,2,0,OLD,20185784,나의 특별한 형제,2019-05-01,581629660,25.1,-922029790,-61.3,7513026360,79340,-98490,-55.4,918019,936,3697,2019-05-07
3,3,0,NEW,20188941,악인전,2019-05-15,88149000,3.8,88149000,100,90397000,9943,9943,100,10224,42,48,2019-05-07
4,4,-1,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,42602160,1.8,-580967580,-93.2,5112779270,6021,-73284,-92.4,665616,438,686,2019-05-07
5,5,0,NEW,20187981,배심원들,2019-05-15,18115000,0.8,18115000,100,48862000,2015,2015,100,5488,8,8,2019-05-07
6,6,0,NEW,20199448,어린 의뢰인,2019-05-22,14400000,0.6,14400000,100,63733000,1600,1600,100,7100,7,7,2019-05-07
7,7,2,OLD,20169323,안도 타다오,2019-04-25,10118600,0.4,-4359930,-30.1,174669000,1392,-302,-17.8,21186,75,95,2019-05-07
8,8,-3,OLD,20197147,어글리 돌,2019-05-01,9081470,0.4,-64675200,-87.7,356035490,1362,-8223,-85.8,48488,189,207,2019-05-07
9,9,4,OLD,20183096,생일,2019-04-03,8673540,0.4,2483940,40.1,9855806710,1326,538,68.3,1193227,114,157,2019-05-07
